post_id,text,comment_time,from_id
267583,"Т.е. инфляция падает, когда цены растут?)...",1702650360,129658462
267581,Олигархо-бюрократический режим предсказуем...,1702657142,129658462
267475,"14,8 млн человек......- а всего в Рф сколько работающих ?",1701962331,16247140
266419,"Инфляция прекратится только при прекращении разрушения рубля и запрете на вывод денег из России, запрете банкам играть в разрушение рубля.",1693237870,710313517
266098,Верный вывод. Система разрушения национальных валют в пользу доллара делает людей нищими.,1692684067,710313517
265550,"Наебулина продолжит работать на Запад и гробить экономику РФ? 
Не удивило",1690207546,138827775
264622,"Банк России это ЧАСТНЫЙ БАНК, который неизвестно кому принадлежит и не подчиняется государству. О чём вообще можно говорить!?",1686831499,574229147
264622,"Пока Россия не национализирует ЦБ РФ и не вернет Госбанк как часть Правительства, нет никакого суверенного государства и нет суверенного будущего",1686845395,710313517
264325,ачала июня будут трудными,1685518426,599240509
264325,"Пишите честно ""ЦБРФ душит национальную экономику, изымает деньги вместо направления на развитие и помогает врагам России""",1685593672,710313517
264266,Короче ДУШИТ банк России российскую экономику. Наебуллину давно пора арестовать и отправить на нары.,1685361521,574229147
264266,"Не, ЦБРФ просто душит экономику. Чтобы банки не кредитовали реальные предприятия, а держали деньги в валюте и играли против рубля. Двойной урон для России - ни развития экономики, и разрушение рубля.",1685364470,710313517
264120,,1684840675,574229147
263433,это ж как!?😇,1681972836,136062459
263433,А ставка Банк в Англии далеко отличается от ставки ЦБРФ....,1682011314,710313517
263279,... и это только начало всего,1681489632,27965624
263119,мигранты...,1680956490,27965624
263119,"Так нет смысла делать потрясения, они будут тянут столько, сколько получится. Тем более пока в России не запрещён вывод капитала из России и не возврат экспортной выручки, деньги России спонсируют западные страны. Впрочем, не только деньги из России. Все страны третьего мира выводят свои деньги в доллары и евро и спонсируют своих паразитов",1681019994,710313517
262656,"В этой ловушке находятся вообще все. И единственный выход из сложившейся ситуации - это признание права трёхмерной технологии процесса экономики, где как следствие станет отказ от незаконного права монополии государства в экономике. Тем самым инфляционные обстоятельства займа будут стабилизироваться дефляционными мерами развития технологии. На чём должен основываться долг.",1679561051,612990774
262656,Неужели застанем превращение доллара в фантик?!,1679573775,222562392
262656,Начало конца,1679576019,308720830
262656,Привет из 90х☝🤣🤣🤣,1679598115,28862544
262649,Шок - это по нашему.,1679498991,548418968
262649,"зато снаряды для Украины поставили, дятлы",1679743678,497580548
262571,Рубль всё равно продолжат разрушать,1679326198,710313517
262128,"Уинстон Черчеилль, став премьер-министром Великобритании первым распоряжением приказал: ""Исполнять только мои письменные приказы!"" 
Президент США работает исполнительными приказами, распоряжениями, которые публикуются после их исполнения или немедленно!!! 
 
Банда в Кремле не может издать такой Приказ и принять такой порядок работы, потому что все их приказы ПРЕСТУПНЫ! 
 
В Кремле давно нет мозгов, либо эти мозги в жопе... 
 
Что будут делать обезьяны в Кремле, если расследование шизофреников приведёт к самим шизофреникам или их друзьям в Белоруссии и Польше. 
 
А что будут делать в Кремле, если в ответ на эти глупые обвинения Белый Дом США захочет опубликовать материалы расследования 11 сентября 2001 года, когда Путин, Иванов, Патрушев под видеокамеру рассказывают, кивая на Ельциных, что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в Европе, по заказу Европы... 
 
В китайской мифологии, то что делают слабоумные шизофреники в Кремле, называется ""Дёргать тигра за усы"".",1677989715,461379477
262052,"""ожидания населения"" - фейковый аргумент. Если планируется инфляция 4 процента, то ставка ЦБРФ должна быть максимум 3 процента. А население всегда за снижение ставки, а не рост. Любой рост ставок это рост цен.",1677641268,710313517
262052,"Президент сказал 4 процента. Что должен сделать ЦБ, чтобы выполнить?",1677676153,51377480
261898,Вот Немцам они перерезали Газ - а Китайцам не стали...какой вывод?: Американцам Китайцы нравятся больше Немцев?,1677090976,16247140
261317,Стремительным домкратом,1675203673,22186949
261255,"мне кажется, Илон Маск вообще достойный человек, столько всего полезного сделал",1674827858,771958070
261255,Илон стольких людей уже вдохновил! Вот это у человека сила!,1674830944,772224463
260957,"Уси-пуси, я обиделась...🤣",1673608933,709848164
260957,Есть же и в Евросоюзе вменяемые главы гос-в...,1673610014,147845069
