sum_i,n,date,санкции,цены на энергоресурсы,валютный курс,дкп,доходы,налоги и тарифы,неопределённость
0.0,8,2021-09,0.0,0.22916666666666666,0.0,0.125,0.4583333333333333,0.1875,0.0
0.0,12,2021-10,0.020833333333333332,0.26666666666666666,0.15555555555555553,0.21388888888888888,0.2986111111111111,0.044444444444444446,0.0
0.0,16,2021-11,0.0625,0.08333333333333334,0.0,0.29270833333333335,0.41145833333333337,0.15000000000000002,0.0
0.2,19,2021-12,0.0,0.12456140350877193,0.05263157894736842,0.2517543859649123,0.475438596491228,0.0850877192982456,0.010526315789473684
0.0,8,2022-01,0.0,0.1875,0.0,0.10416666666666666,0.5,0.20833333333333331,0.0
0.0,5,2022-02,0.0,0.0,0.2,0.5,0.3,0.0,0.0
0.1,14,2022-03,0.10357142857142856,0.31190476190476196,0.028571428571428574,0.12261904761904761,0.3523809523809524,0.0738095238095238,0.0071428571428571435
0.0625,14,2022-04,0.27448979591836736,0.21505102040816326,0.04681122448979592,0.2298469387755102,0.1762755102040816,0.05306122448979592,0.004464285714285714
0.75,11,2022-05,0.022727272727272728,0.3896103896103896,0.04329004329004329,0.05844155844155843,0.4177489177489177,0.0,0.06818181818181818
0.5,16,2022-06,0.12239583333333333,0.2,0.075,0.1421875,0.37604166666666666,0.053125000000000006,0.03125
1.0,15,2022-07,0.2388888888888889,0.11666666666666667,0.016666666666666666,0.02222222222222222,0.5,0.03888888888888888,0.06666666666666667
0.0,8,2022-08,0.125,0.22916666666666666,0.0,0.20833333333333331,0.41666666666666663,0.020833333333333332,0.0
0.0,12,2022-09,0.0625,0.17361111111111108,0.05555555555555555,0.34027777777777773,0.3680555555555555,0.0,0.0
0.0,13,2022-10,0.038461538461538464,0.14871794871794872,0.015384615384615385,0.2564102564102564,0.2794871794871795,0.26153846153846155,0.0
0.0,11,2022-11,0.0606060606060606,0.2748917748917749,0.0,0.01948051948051948,0.4372294372294373,0.20779220779220778,0.0
0.0,16,2022-12,0.09375,0.109375,0.125,0.140625,0.35416666666666663,0.17708333333333334,0.0
